




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6144)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	11	131.56	-	.08	2.78E-36	4.40E-32
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	18	144.99	-	.12	1.08E-34	8.55E-31
detection of chemical stimulus (GO:0009593)	522	31	155.73	-	.20	4.01E-29	2.11E-25
sensory perception of smell (GO:0007608)	468	25	139.62	-	.18	7.34E-28	2.90E-24
anatomical structure morphogenesis (GO:0009653)	2158	941	643.78	+	1.46	4.91E-24	1.55E-20
sensory perception of chemical stimulus (GO:0007606)	543	45	161.99	-	.28	2.84E-23	7.49E-20
multicellular organism development (GO:0007275)	4941	1862	1474.02	+	1.26	7.46E-23	1.47E-19
detection of stimulus involved in sensory perception (GO:0050906)	557	48	166.17	-	.29	6.96E-23	1.57E-19
system development (GO:0048731)	4330	1663	1291.75	+	1.29	1.02E-22	1.80E-19
anatomical structure development (GO:0048856)	5330	1977	1590.07	+	1.24	7.91E-22	1.25E-18
developmental process (GO:0032502)	5797	2122	1729.39	+	1.23	1.58E-21	2.28E-18
adaptive immune response (GO:0002250)	658	75	196.30	-	.38	2.13E-19	2.81E-16
nervous system development (GO:0007399)	2218	921	661.68	+	1.39	1.33E-18	1.62E-15
neurogenesis (GO:0022008)	1391	625	414.97	+	1.51	6.68E-18	7.54E-15
generation of neurons (GO:0048699)	1271	577	379.17	+	1.52	2.80E-17	2.95E-14
animal organ development (GO:0048513)	3220	1247	960.61	+	1.30	3.46E-17	3.42E-14
cellular process (GO:0009987)	15495	4924	4622.54	+	1.07	8.44E-16	7.84E-13
neuron differentiation (GO:0030182)	1043	479	311.15	+	1.54	4.47E-15	3.92E-12
detection of stimulus (GO:0051606)	721	102	215.09	-	.47	6.26E-15	5.20E-12
cell differentiation (GO:0030154)	3575	1338	1066.51	+	1.25	1.14E-14	9.03E-12
cellular developmental process (GO:0048869)	3634	1357	1084.11	+	1.25	1.23E-14	9.27E-12
animal organ morphogenesis (GO:0009887)	956	442	285.20	+	1.55	2.80E-14	2.01E-11
biological_process (GO:0008150)	17851	5544	5325.40	+	1.04	3.74E-14	2.46E-11
Unclassified (UNCLASSIFIED)	2744	600	818.60	-	.73	3.74E-14	2.57E-11
regulation of developmental process (GO:0050793)	2461	963	734.18	+	1.31	5.67E-14	3.59E-11
positive regulation of cellular process (GO:0048522)	5741	2008	1712.68	+	1.17	4.85E-13	2.95E-10
positive regulation of biological process (GO:0048518)	6331	2191	1888.69	+	1.16	5.59E-13	3.27E-10
regulation of cell differentiation (GO:0045595)	1586	652	473.14	+	1.38	1.80E-12	1.02E-09
complement activation, classical pathway (GO:0006958)	161	6	48.03	-	.12	3.63E-12	1.98E-09
multicellular organismal process (GO:0032501)	6926	2362	2066.20	+	1.14	4.58E-12	2.41E-09
regulation of signaling (GO:0023051)	3545	1299	1057.56	+	1.23	4.74E-12	2.42E-09
embryo development (GO:0009790)	991	438	295.64	+	1.48	6.34E-12	3.13E-09
cellular component organization or biogenesis (GO:0071840)	6006	2075	1791.74	+	1.16	7.06E-12	3.38E-09
regulation of cell communication (GO:0010646)	3509	1285	1046.82	+	1.23	7.57E-12	3.42E-09
central nervous system development (GO:0007417)	1000	441	298.32	+	1.48	7.56E-12	3.52E-09
positive regulation of metabolic process (GO:0009893)	3820	1383	1139.60	+	1.21	1.06E-11	4.66E-09
immune response (GO:0006955)	2075	447	619.02	-	.72	1.48E-11	6.31E-09
regulation of multicellular organismal process (GO:0051239)	2673	1008	797.42	+	1.26	1.87E-11	7.76E-09
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1284	1050.70	+	1.22	1.99E-11	8.07E-09
regulation of localization (GO:0032879)	2753	1032	821.29	+	1.26	2.78E-11	1.07E-08
pattern specification process (GO:0007389)	426	223	127.09	+	1.75	2.75E-11	1.08E-08
anatomical structure formation involved in morphogenesis (GO:0048646)	883	394	263.42	+	1.50	3.26E-11	1.23E-08
regulation of biological quality (GO:0065008)	3995	1432	1191.81	+	1.20	4.09E-11	1.50E-08
negative regulation of cellular process (GO:0048523)	4902	1719	1462.39	+	1.18	4.46E-11	1.60E-08
cellular component organization (GO:0016043)	5783	1994	1725.21	+	1.16	4.70E-11	1.65E-08
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1977	1712.38	+	1.15	8.96E-11	3.08E-08
circulatory system development (GO:0072359)	877	388	261.63	+	1.48	1.07E-10	3.60E-08
regionalization (GO:0003002)	317	176	94.57	+	1.86	1.25E-10	4.12E-08
neuron development (GO:0048666)	846	376	252.38	+	1.49	1.33E-10	4.30E-08
positive regulation of cellular metabolic process (GO:0031325)	3314	1206	988.65	+	1.22	1.51E-10	4.77E-08
regulation of cellular metabolic process (GO:0031323)	6138	2097	1831.12	+	1.15	1.61E-10	4.98E-08
biological regulation (GO:0065007)	12568	4025	3749.35	+	1.07	1.74E-10	5.28E-08
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	505	361.57	+	1.40	2.01E-10	6.00E-08
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1142	931.67	+	1.23	2.33E-10	6.83E-08
regulation of primary metabolic process (GO:0080090)	5925	2028	1767.57	+	1.15	2.44E-10	7.01E-08
